TER,20190218,0.58,0.6,0.57,0.6,432421
TEK,20190218,0.22,0.22,0.215,0.22,935898
TEG,20190218,0.125,0.125,0.115,0.125,699171
TDO,20190218,0.1,0.11,0.1,0.1,505560
TDL,20190218,0.043,0.043,0.041,0.041,37856
TCL,20190218,12.29,12.29,12.145,12.18,3396976
TBR,20190218,3.95,3.95,3.88,3.95,2990
TBL,20190218,0.008,0.008,0.008,0.008,28166
TBH,20190218,0.038,0.038,0.036,0.036,185284
TAS,20190218,0.048,0.048,0.048,0.048,25609
TAR,20190218,0.064,0.064,0.064,0.064,4689
TAP,20190218,0.09,0.09,0.09,0.09,40442
TAM,20190218,0.045,0.045,0.045,0.045,25000
TAH,20190218,4.53,4.56,4.51,4.52,4652508
SYT,20190218,0.006,0.006,0.006,0.006,53000
SYR,20190218,1.355,1.355,1.322,1.33,1469163
SYI,20190218,27.62,27.66,27.62,27.62,2684
SYD,20190218,6.96,6.97,6.9,6.91,3023703
SYA,20190218,0.022,0.023,0.022,0.023,502687
SXY,20190218,0.37,0.375,0.36,0.365,6808637
SXX,20190218,0.005,0.005,0.005,0.005,20000
SXL,20190218,1.145,1.145,1.12,1.14,751223
SXE,20190218,0.65,0.65,0.62,0.64,46362
SWM,20190218,0.56,0.58,0.56,0.565,3545166
SWK,20190218,0.22,0.22,0.217,0.22,391575
SWF,20190218,0.063,0.063,0.063,0.063,50000
SW1,20190218,0.27,0.28,0.26,0.27,184943
SVY,20190218,0.28,0.33,0.275,0.32,1087813
SVW,20190218,17.47,17.47,16.935,17.08,733217
SVT,20190218,0.013,0.013,0.013,0.013,45053
SVM,20190218,0.073,0.073,0.073,0.073,233810
SVL,20190218,0.06,0.062,0.059,0.061,2397023
SVH,20190218,0.013,0.013,0.013,0.013,150000
SUR,20190218,0.004,0.004,0.004,0.004,500000
SUN,20190218,13.2,13.23,12.99,13.07,2114163
SUL,20190218,7.78,8,7.76,7.85,843126
SUH,20190218,0.031,0.031,0.031,0.031,11760
SUD,20190218,0.006,0.006,0.005,0.005,255000
STX,20190218,0.067,0.067,0.065,0.066,577157
STW,20190218,57.07,57.15,56.82,56.87,75445
STO,20190218,6.81,6.855,6.78,6.79,3718177
STN,20190218,0.2,0.2,0.2,0.2,43150
STM,20190218,0.032,0.032,0.03,0.03,355000
STG,20190218,1.39,1.39,1.35,1.35,70142
STA,20190218,0.1,0.1,0.1,0.1,1023830
ST1,20190218,0.14,0.15,0.14,0.145,64793
SSO,20190218,14.63,14.63,14.63,14.63,1999
SSM,20190218,1.99,2.07,1.885,2.03,6959900
SSG,20190218,0.33,0.345,0.33,0.345,120833
SRZ,20190218,0.013,0.013,0.013,0.013,1084
SRV,20190218,3.05,3.14,3.05,3.08,40953
SRS,20190218,0.066,0.067,0.066,0.066,1800438
SRO,20190218,0.001,0.001,0.001,0.001,2780670
SRN,20190218,0.004,0.004,0.004,0.004,148249
SRI,20190218,0.008,0.008,0.008,0.008,2269596
SRG,20190218,0.48,0.48,0.475,0.48,97059
SPZ,20190218,0.115,0.115,0.115,0.115,261864
SPY,20190218,389.19,389.19,388.15,388.15,88
SPX,20190218,0.005,0.005,0.005,0.005,249689
SPT,20190218,0.855,0.87,0.79,0.795,3473442
SPQ,20190218,0.005,0.005,0.005,0.005,50000
SPO,20190218,1.6,1.6,1.6,1.6,12566
SPL,20190218,1.09,1.092,1.07,1.08,175924
SPK,20190218,3.93,3.93,3.895,3.9,958507
SP3,20190218,0.16,0.16,0.16,0.16,2112
SOR,20190218,0.039,0.039,0.035,0.035,585808
SOM,20190218,1.63,1.63,1.625,1.63,38794
SOL,20190218,29.42,29.66,28.98,29.21,312288
SO4,20190218,0.475,0.48,0.475,0.477,87744
SNZ,20190218,6.04,6.04,6.04,6.04,215
SNS,20190218,0.08,0.08,0.079,0.08,159515
SNL,20190218,3.92,3.93,3.92,3.93,1203
SND,20190218,0.355,0.36,0.355,0.355,10802
SNC,20190218,0.855,0.855,0.85,0.85,15000
SMX,20190218,0.26,0.26,0.26,0.26,843
SMR,20190218,1.095,1.13,1.095,1.115,279087
SMP,20190218,0.19,0.19,0.185,0.185,10286
SMN,20190218,0.955,0.955,0.925,0.925,115507
SMI,20190218,0.005,0.006,0.005,0.005,5778361
SM8,20190218,0.019,0.024,0.019,0.023,888481
SM1,20190218,9.41,9.44,9.3,9.41,62836
SLZ,20190218,0.11,0.115,0.105,0.11,280500
SLX,20190218,0.255,0.26,0.245,0.245,197643
SLR,20190218,0.625,0.65,0.625,0.65,3558611
SLK,20190218,4.01,4.05,3.98,4.05,10000
SLF,20190218,13.6,13.61,13.51,13.58,24161
SLC,20190218,1.54,1.56,1.52,1.56,455254
SL1,20190218,0.017,0.017,0.017,0.017,130000
SKT,20190218,1.75,1.75,1.672,1.71,242005
SKO,20190218,3.05,3.05,3.03,3.03,6324
SKI,20190218,2.26,2.27,2.23,2.25,6150263
SKF,20190218,0.15,0.15,0.145,0.145,72359
SKC,20190218,3.71,3.72,3.66,3.68,240146
SIV,20190218,1.84,1.85,1.775,1.805,34569
SIS,20190218,0.073,0.073,0.072,0.073,47324
SIQ,20190218,9.8,9.8,8.75,8.9,1845957
SIL,20190218,0.305,0.305,0.3,0.3,1124354
SIH,20190218,0.014,0.014,0.014,0.014,135882
SIG,20190218,0.595,0.6,0.59,0.595,1182376
SI6,20190218,0.004,0.004,0.004,0.004,726437
SHV,20190218,6.12,6.25,6.12,6.2,103029
SHO,20190218,0.08,0.08,0.07,0.07,462565
SHM,20190218,0.55,0.575,0.55,0.57,156514
SHL,20190218,23.89,23.93,23.57,23.65,991692
SHJ,20190218,0.65,0.67,0.645,0.665,110438
SHH,20190218,0.006,0.006,0.006,0.006,59990
SGR,20190218,4.6,4.64,4.57,4.58,2047796
SGQ,20190218,0.145,0.15,0.145,0.15,335875
SGP,20190218,3.76,3.77,3.73,3.76,6525150
SGM,20190218,11.39,11.41,11.12,11.15,692881
SGI,20190218,0.145,0.145,0.145,0.145,160000
SGH,20190218,2.3,2.35,2.3,2.32,2821
SGF,20190218,2.68,2.73,2.585,2.62,474298
SFY,20190218,55.72,56.2,55.72,55.99,4207
SFR,20190218,8.1,8.34,8.02,8.18,1221322
SFG,20190218,0.115,0.115,0.115,0.115,207925
SFC,20190218,14.49,14.55,14.49,14.49,1924
SEQ,20190218,0.265,0.265,0.265,0.265,31306
SEN,20190218,0.073,0.073,0.073,0.073,395380
SEK,20190218,17.06,17.22,16.78,16.8,1244558
SEI,20190218,0.021,0.023,0.021,0.023,1077380
SEC,20190218,1.71,1.72,1.7,1.72,109491
SEA,20190218,0.4,0.41,0.395,0.4,3234101
SE1,20190218,0.11,0.11,0.105,0.11,232554
SDV,20190218,0.07,0.07,0.066,0.067,333438
SDI,20190218,0.875,0.88,0.815,0.815,165537
SDG,20190218,1.53,1.53,1.53,1.53,4974
SDF,20190218,3.07,3.07,2.99,3,1176567
SDA,20190218,3.26,3.33,3.2,3.33,879964
SCU,20190218,0.02,0.02,0.02,0.02,49469
SCT,20190218,0.15,0.15,0.14,0.145,178391
SCP,20190218,2.5,2.52,2.48,2.51,3327653
SCI,20190218,0.011,0.011,0.011,0.011,159080
SCG,20190218,4.02,4.02,3.95,3.99,9758270
